player_name,date,volume,tone,player_id
Adam Walton,2024-03-21,5,0.14,200443
Adam Walton,2024-03-22,5,0.12,200443
Adam Walton,2024-03-23,2,0.05,200443
Adam Walton,2024-03-24,1,0.0,200443
Adam Walton,2024-04-01,1,0.0,200443
Adam Walton,2024-04-08,1,0.1,200443
Adam Walton,2024-04-16,1,0.0,200443
Adam Walton,2024-05-07,1,0.4,200443
Adam Walton,2024-05-14,1,0.1,200443
Adam Walton,2024-05-15,1,0.5,200443
Adam Walton,2024-05-16,2,-0.05,200443
Adam Walton,2024-05-17,2,-0.2,200443
Adam Walton,2024-05-19,1,0.1,200443
Adam Walton,2024-05-25,1,0.2,200443
Adam Walton,2024-05-27,4,0.225,200443
Adam Walton,2024-05-28,6,0.11666666666666667,200443
Adam Walton,2024-05-29,4,-0.175,200443
